seed,steps,alive,combos,overall,pass,pass_core,pass_v36,time_s,combos_accepted,rej_significance,alive_min,beta_mean,vote_events,rule_changes,deaths_starvation,deaths_combat,combat_events,fruit_collected,prey_hunted,crisis_on_steps,gini_final,gini_mean,gene_moran_final,gene_moran_mean,loop_rate_final,loop_rate_mean,shannon_H_final,shannon_H_mean,field_entropy_final,field_entropy_mean,lineage_count_final,max_generation_final,dominant_ratio_final,spatial_variance_final,trust_mean,trust_std,social_diff_Q,trust_total_updates,selfmodel_bias_nonzero,selfmodel_bias_mean,comm_weights_nonzero,comm_weights_max,share_exec_total,share_energy_ratio_median,time_to_first_combo,resource_pressure_mean,f_frozen,f_liquid,f_liquid_Honly,f_chaos,liquid_longest_run,time_to_liquid,phase_transition_count,H_at_200,H_at_600,H_at_2000,Gini_at_200,Gini_at_600,Gini_at_2000,SHARE_at_200,SHARE_at_600,SHARE_at_2000,H_autocorr_early_500,H_autocorr_late_500,H_autocorr_delta_500,time_to_gini_035,time_above_gini_035,gini_peak,H_overheat_600,H_peak,omega_final,omega_mean,omega_cv,omega_mean_liquid,omega_cv_liquid,guardian_interventions,guardian_circuit_breaks,moon_events,disaster,guardian_level_final,guardian_level_mean,guardian_tau_scale_final,guardian_tau_scale_mean,omega_cv_guardian_final,omega_cv_guardian_mean,guardian_trigger_frozen,guardian_trigger_overheat,guardian_trigger_share_imbalance,guardian_trigger_gini_warning,guardian_trigger_gini_danger,guardian_trigger_gini_meltdown,guardian_trigger_triple_warning,guardian_trigger_early_brake,intervention_help_rate_H,intervention_help_rate_alive,post_intervention_phase_flips_200,moon_epochs,interventions_per_epoch_p95,moon_lockouts,r_signal_final,r_signal_mean,r_sync_final,r_sync_mean,A_hat_P10_final,A_hat_P10_mean,A_hat_P50_final,A_hat_P50_mean,A_hat_P90_final,A_hat_P90_mean,top1_action_ratio_final,top1_action_ratio_mean,ER_ratio_final,ER_ratio_mean,A_eff_final,A_eff_mean,action_entropy_final,action_entropy_mean,msg_success_rate_final,msg_success_rate_mean,trust_update_rate_final,trust_update_rate_mean,trust_edge_ratio_final,trust_edge_ratio_mean,giant_component_ratio_final,giant_component_ratio_mean,D_death_rate_final,D_death_rate_mean,D_decay_rate_final,D_decay_rate_mean,D_intervention_rate_final,D_intervention_rate_mean,overlap_sun_moon_final,overlap_sun_moon_mean,churn_rate_final,churn_rate_mean,phase_mutual_info_final,phase_mutual_info_mean,fgrl_valid_ratio,fgrl_valid_keys,fgrl_dirty,omega_cv_unstable,omega_cv_clipped,guardian_version,guardian_v2_repro_threshold_final,guardian_v2_share_bonus_final,guardian_v2_regen_rate_final,guardian_v2_steal_cost_final,guardian_v2_interventions,guardian_v2_frozen_count,guardian_v2_overheat_count,guardian_v2_oligarch_count,share_rate_mean,share_rate_final,gather_rate_mean,gather_rate_final,ratio_sg_mean,ratio_sg_final,share_attempts_mean,share_attempts_final,share_accepted_mean,share_accepted_final,share_rejected_mean,share_rejected_final,guardian_v7_interventions,guardian_v7_austerity_count,guardian_v7_stimulate_count,guardian_v7_cooldown_count,guardian_v7_behavior_triggers,guardian_v7_physics_triggers,Q_mean,Q_final,Q_dev_mean,u_share_mean_mean,u_share_mean_final,u_gather_mean_mean,u_gather_mean_final,u_diff_share_gather_mean,u_diff_share_gather_final,share_masked_ratio_mean,share_masked_ratio_final,local_nbr_mean_mean,local_nbr_mean_final,selfmodel_share_penalty_mean,selfmodel_share_penalty_final
20009,5000,204,31,0.6179,1,1,0,287.6,31,4484,204,9.95,0,0,617,0,0,0,0,0,0.0639,0.1416,0.1003,0.0425,8.8,18.4402,0.946,1.0685,0.065,0.0421,140,2,0.0343,0.7549,,,,,,,,,488516,0.199,99,0.1562,0.0561,0.7383,0.9439,0.0,42,1,6,0.175,1.352,0.926,0.0,0.3672,0.0538,0.9765,0.5221,0.2887,0.0,0.0,0.0,517,22,0.5075,0,1.389,3.6348,4.4874,0.1467,4.5088,0.147,0,0,0,0,0,0.0,1.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0,1,0,0,0.2749,0.0093,6.2278,17.8399,0.9091,0.9091,0.9091,0.9096,0.9091,0.9546,0.7039,0.6143,98.6887,99.4062,25.2062,25.4747,0.9462,1.0683,nan,nan,nan,nan,nan,nan,0.0,0.0,1.2941,0.5954,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,A_eff|A_hat_P10|A_hat_P50|A_hat_P90|D_death_rate|ER_ratio|action_entropy|churn_rate|giant_component_ratio|r_signal|r_sync|top1_action_ratio,D_death_rate_out_of_range,False,False,7,,,,,,,,,0.4745,0.2869,0.5012,0.7039,1.855,0.4076,0.0,0,0.0,0,0.0,0,31,30,1,0,30,1873,,,,1.7264,2.0806,1.8434,2.3429,-0.117,-0.2623,0.0014,0.0,4.2784,4.2843,0.0,0.0
SUMMARY,5000,204.00,31.00,0.62,1/1,1/1,0/1,288,31,4484,204,9.95,,,,,,,,,0.0639,0.1416,0.1003,0.0425,8.8000,18.4402,0.9460,1.0685,0.0650,0.0421,140.0000,2.0000,0.0343,0.7549,,,,,,,,,488516.0000,0.1990,,,0.0561,0.7383,0.9439,0.0000,42.0000,1.0000,6.0000,0.1750,1.3520,0.9260,0.0000,0.3672,0.0538,0.9765,0.5221,0.2887,0.0000,0.0000,0.0000,517.0000,22.0000,0.5075,0.0000,1.3890,3.6348,4.4874,0.1467,4.5088,0.1470,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.2749,0.0093,6.2278,17.8399,0.9091,0.9091,0.9091,0.9096,0.9091,0.9546,0.7039,0.6143,98.6887,99.4062,25.2062,25.4747,0.9462,1.0683,nan,nan,nan,nan,nan,nan,0.0000,0.0000,1.2941,0.5954,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0000,,,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PASS_RATE,1/1,≥160,≥50,≥0.65,100%,,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
