seed,steps,alive,combos,overall,pass,pass_core,pass_v36,time_s,combos_accepted,rej_significance,alive_min,beta_mean,vote_events,rule_changes,deaths_starvation,deaths_combat,combat_events,fruit_collected,prey_hunted,crisis_on_steps,gini_final,gini_mean,gene_moran_final,gene_moran_mean,loop_rate_final,loop_rate_mean,shannon_H_final,shannon_H_mean,field_entropy_final,field_entropy_mean,lineage_count_final,max_generation_final,dominant_ratio_final,spatial_variance_final,trust_mean,trust_std,social_diff_Q,trust_total_updates,selfmodel_bias_nonzero,selfmodel_bias_mean,comm_weights_nonzero,comm_weights_max,share_exec_total,share_energy_ratio_median,time_to_first_combo,resource_pressure_mean,f_frozen,f_liquid,f_liquid_Honly,f_chaos,liquid_longest_run,time_to_liquid,phase_transition_count,H_at_200,H_at_600,H_at_2000,Gini_at_200,Gini_at_600,Gini_at_2000,SHARE_at_200,SHARE_at_600,SHARE_at_2000,H_autocorr_early_500,H_autocorr_late_500,H_autocorr_delta_500,time_to_gini_035,time_above_gini_035,gini_peak,H_overheat_600,H_peak,omega_final,omega_mean,omega_cv,omega_mean_liquid,omega_cv_liquid,guardian_interventions,guardian_circuit_breaks,moon_events,disaster,guardian_level_final,guardian_level_mean,guardian_tau_scale_final,guardian_tau_scale_mean,omega_cv_guardian_final,omega_cv_guardian_mean,guardian_trigger_frozen,guardian_trigger_overheat,guardian_trigger_share_imbalance,guardian_trigger_gini_warning,guardian_trigger_gini_danger,guardian_trigger_gini_meltdown,guardian_trigger_triple_warning,guardian_trigger_early_brake,intervention_help_rate_H,intervention_help_rate_alive,post_intervention_phase_flips_200,moon_epochs,interventions_per_epoch_p95,moon_lockouts,r_signal_final,r_signal_mean,r_sync_final,r_sync_mean,A_hat_P10_final,A_hat_P10_mean,A_hat_P50_final,A_hat_P50_mean,A_hat_P90_final,A_hat_P90_mean,top1_action_ratio_final,top1_action_ratio_mean,ER_ratio_final,ER_ratio_mean,A_eff_final,A_eff_mean,action_entropy_final,action_entropy_mean,msg_success_rate_final,msg_success_rate_mean,trust_update_rate_final,trust_update_rate_mean,trust_edge_ratio_final,trust_edge_ratio_mean,giant_component_ratio_final,giant_component_ratio_mean,D_death_rate_final,D_death_rate_mean,D_decay_rate_final,D_decay_rate_mean,D_intervention_rate_final,D_intervention_rate_mean,overlap_sun_moon_final,overlap_sun_moon_mean,churn_rate_final,churn_rate_mean,phase_mutual_info_final,phase_mutual_info_mean,fgrl_valid_ratio,fgrl_valid_keys,fgrl_dirty,omega_cv_unstable,omega_cv_clipped,guardian_version,guardian_v2_repro_threshold_final,guardian_v2_share_bonus_final,guardian_v2_regen_rate_final,guardian_v2_steal_cost_final,guardian_v2_interventions,guardian_v2_frozen_count,guardian_v2_overheat_count,guardian_v2_oligarch_count,share_rate_mean,share_rate_final,gather_rate_mean,gather_rate_final,ratio_sg_mean,ratio_sg_final,share_attempts_mean,share_attempts_final,share_accepted_mean,share_accepted_final,share_rejected_mean,share_rejected_final,guardian_v7_interventions,guardian_v7_austerity_count,guardian_v7_stimulate_count,guardian_v7_cooldown_count,guardian_v7_behavior_triggers,guardian_v7_physics_triggers,Q_mean,Q_final,Q_dev_mean,u_share_mean_mean,u_share_mean_final,u_gather_mean_mean,u_gather_mean_final,u_diff_share_gather_mean,u_diff_share_gather_final,share_masked_ratio_mean,share_masked_ratio_final,local_nbr_mean_mean,local_nbr_mean_final,selfmodel_share_penalty_mean,selfmodel_share_penalty_final
20007,5000,213,57,0.6794,1,1,0,312.6,57,3569,196,11.661,0,0,1440,0,0,0,0,0,0.1211,0.2634,0.0,0.0107,8.8,16.8673,1.105,1.1481,0.1067,0.0647,11,14,0.4883,1.9619,,,,,,,,,573057,0.198,99,0.2905,0.0561,0.6262,0.9346,0.0093,42,1,8,0.204,1.231,1.105,0.0,0.6028,0.1071,0.9718,0.6195,0.4212,0.0,0.0,0.0,517,33,0.6702,0,1.401,4.4764,4.7991,0.1201,4.8405,0.1119,0,0,0,0,0,0.0187,1.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0,1,0,0,0.2437,0.0081,3.8479,15.7757,0.9091,0.9091,0.9091,0.9091,0.9091,0.9998,0.5577,0.5888,98.8018,99.9639,38.4315,34.7104,1.1051,1.1481,nan,nan,nan,nan,nan,nan,0.0,0.0,0.9615,0.88,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,A_eff|A_hat_P10|A_hat_P50|A_hat_P90|D_death_rate|ER_ratio|action_entropy|churn_rate|giant_component_ratio|r_signal|r_sync|top1_action_ratio,,False,False,7,,,,,,,,,0.5394,0.4275,0.4235,0.5577,3.0743,0.7666,0.0,0,0.0,0,0.0,0,43,42,1,0,42,1,,,,0.6158,0.9116,1.8476,2.3898,-1.2318,-1.4782,0.0144,0.0141,3.8443,3.8404,0.0,0.0
SUMMARY,5000,213.00,57.00,0.68,1/1,1/1,0/1,313,57,3569,196,11.66,,,,,,,,,0.1211,0.2634,0.0000,0.0107,8.8000,16.8673,1.1050,1.1481,0.1067,0.0647,11.0000,14.0000,0.4883,1.9619,,,,,,,,,573057.0000,0.1980,,,0.0561,0.6262,0.9346,0.0093,42.0000,1.0000,8.0000,0.2040,1.2310,1.1050,0.0000,0.6028,0.1071,0.9718,0.6195,0.4212,0.0000,0.0000,0.0000,517.0000,33.0000,0.6702,0.0000,1.4010,4.4764,4.7991,0.1201,4.8405,0.1119,0.0000,0.0000,0.0000,0.0000,0.0000,0.0187,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.2437,0.0081,3.8479,15.7757,0.9091,0.9091,0.9091,0.9091,0.9091,0.9998,0.5577,0.5888,98.8018,99.9639,38.4315,34.7104,1.1051,1.1481,nan,nan,nan,nan,nan,nan,0.0000,0.0000,0.9615,0.8800,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0000,,,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PASS_RATE,1/1,≥160,≥50,≥0.65,100%,,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
