ncap,seed,H,gini,alive,ratio_sg,share_rate,quadrant
218,20043,0.9367,0.2769,218,0.343,0.2393,Type_A
218,20044,1.4781,0.3955,217,0.3078,0.1733,Roma
218,20045,0.2361,0.0471,217,0.0002,0.0002,Utopia
218,20046,0.8844,0.1477,218,0.5962,0.2289,Utopia
218,20047,1.662,0.5678,178,0.8404,0.2949,Roma
218,20048,0.2685,0.0466,218,0.0002,0.0002,Utopia
218,20049,0.298,0.0464,218,0.0002,0.0002,Utopia
218,20050,0.5119,0.0709,218,0.1663,0.0711,Utopia
218,20051,1.1495,0.2717,198,3.5347,0.5559,Type_B
218,20052,1.5752,0.4064,195,1.8985,0.2596,Roma
218,20053,1.0908,0.4141,218,0.702,0.398,Roma
218,20054,0.9464,0.2833,218,0.3507,0.2456,Type_A
218,20055,0.2568,0.047,218,0.0002,0.0002,Utopia
218,20056,0.2622,0.0467,218,0.0002,0.0001,Utopia
218,20057,0.251,0.047,216,0.0002,0.0002,Utopia
218,20058,0.5126,0.0705,218,0.2014,0.0829,Utopia
218,20059,1.0897,0.3593,195,2.6763,0.5846,Roma
220,20000,1.4266,0.4904,210,0.2325,0.0913,Roma
220,20001,0.9317,0.2881,218,0.3685,0.2628,Type_A
220,20003,0.5727,0.1016,215,0.2583,0.1049,Utopia
220,20004,0.967,0.3382,214,0.4621,0.3075,Type_A
220,20005,0.9306,0.2911,215,0.3852,0.272,Type_A
220,20006,1.0237,0.383,215,0.564,0.3507,Roma
220,20007,0.3166,0.046,220,0.0003,0.0003,Utopia
220,20008,1.1204,0.1945,188,1.9517,0.5066,Type_B
220,20009,1.9402,0.4608,220,0.797,0.129,Roma
220,20010,1.715,0.5695,186,0.8425,0.2908,Roma
220,20011,0.5583,0.0912,207,0.2489,0.1019,Utopia
220,20012,0.962,0.2948,220,0.3799,0.2605,Type_A
220,20013,1.6788,0.5752,176,0.8624,0.2966,Roma
220,20014,0.6427,0.1066,218,0.357,0.1334,Utopia
220,20015,1.5434,0.4153,220,0.7444,0.1772,Roma
220,20016,1.5909,0.3789,220,1.3788,0.25,Roma
220,20017,0.7999,0.0816,219,0.4825,0.1899,Utopia
220,20018,1.0137,0.3381,218,0.4764,0.3071,Roma
220,20019,0.2387,0.0468,218,0.0002,0.0002,Utopia
220,20020,0.527,0.0722,220,0.1902,0.0799,Utopia
220,20021,1.007,0.3266,220,0.4483,0.2951,Roma
220,20022,1.4126,0.6054,211,0.5345,0.133,Roma
220,20023,1.0085,0.3915,209,0.587,0.3598,Roma
220,20024,0.6158,0.0779,206,0.2869,0.1158,Utopia
220,20025,0.9626,0.3014,219,0.442,0.3006,Type_A
220,20026,1.0097,0.3636,212,0.5283,0.3327,Roma
220,20027,0.7576,0.0847,211,0.4829,0.1788,Utopia
220,20028,1.005,0.3823,161,0.6914,0.4041,Roma
220,20029,0.8321,0.0909,210,0.5444,0.2167,Utopia
220,20030,0.7418,0.6834,197,9.3136,0.7955,Type_A
220,20031,1.0492,0.1351,209,1.2087,0.3817,Type_B
220,20032,1.902,0.5679,194,6.2264,0.2258,Roma
220,20033,0.8822,0.0904,206,0.7167,0.26,Utopia
220,20034,0.8949,0.2877,215,0.3546,0.2571,Type_A
220,20035,1.0619,0.1955,194,2.4164,0.5342,Type_B
220,20036,1.0214,0.3876,210,0.5834,0.3569,Roma
220,20037,0.2951,0.0458,220,0.0002,0.0002,Utopia
220,20038,1.0923,0.2217,192,2.3662,0.5135,Type_B
220,20039,1.0855,0.1229,190,1.4102,0.3823,Type_B
220,20040,1.4988,0.4121,220,1.0637,0.2084,Roma
220,20041,0.7386,0.1555,209,0.1916,0.1581,Utopia
220,20042,0.9508,0.3011,213,0.4348,0.2977,Type_A
220,20043,1.0294,0.3018,218,0.4782,0.3152,Roma
220,20044,1.5222,0.4231,213,0.3477,0.16,Roma
220,20045,1.3181,0.5141,220,0.6845,0.1096,Roma
220,20046,0.881,0.0925,204,0.7246,0.236,Utopia
220,20047,0.5721,0.0782,205,0.2715,0.1105,Utopia
220,20048,0.644,0.076,215,0.3066,0.1348,Utopia
220,20049,0.985,0.3373,213,0.4567,0.3024,Type_A
220,20050,0.6251,0.1114,206,0.2859,0.1123,Utopia
220,20051,0.7434,0.0804,213,0.5063,0.1812,Utopia
220,20052,0.7045,0.0768,220,0.3212,0.1522,Utopia
220,20053,0.3022,0.046,220,0.0002,0.0001,Utopia
220,20054,1.0735,0.2265,194,2.3246,0.52,Type_B
220,20055,1.5924,0.4356,184,0.4721,0.2353,Roma
220,20056,0.9868,0.362,217,0.5225,0.3325,Type_A
220,20057,1.0375,0.4478,204,0.8756,0.4586,Roma
220,20058,1.4653,0.411,210,0.3279,0.1807,Roma
220,20059,1.0667,0.5324,204,1.1724,0.5147,Roma
220,20060,0.6713,0.1145,220,0.2902,0.1288,Utopia
220,20061,1.135,0.2256,187,2.0637,0.5141,Type_B
220,20062,0.9842,0.1287,204,1.0725,0.3342,Utopia
220,20063,1.0261,0.3762,220,0.5691,0.3493,Roma
