seed,steps,alive,combos,overall,pass,pass_core,pass_v36,time_s,combos_accepted,rej_significance,alive_min,beta_mean,vote_events,rule_changes,deaths_starvation,deaths_combat,combat_events,fruit_collected,prey_hunted,crisis_on_steps,gini_final,gini_mean,gene_moran_final,gene_moran_mean,loop_rate_final,loop_rate_mean,shannon_H_final,shannon_H_mean,field_entropy_final,field_entropy_mean,lineage_count_final,max_generation_final,dominant_ratio_final,spatial_variance_final,trust_mean,trust_std,social_diff_Q,trust_total_updates,selfmodel_bias_nonzero,selfmodel_bias_mean,comm_weights_nonzero,comm_weights_max,share_exec_total,share_energy_ratio_median,time_to_first_combo,resource_pressure_mean,f_frozen,f_liquid,f_liquid_Honly,f_chaos,liquid_longest_run,time_to_liquid,phase_transition_count,H_at_200,H_at_600,H_at_2000,Gini_at_200,Gini_at_600,Gini_at_2000,SHARE_at_200,SHARE_at_600,SHARE_at_2000,H_autocorr_early_500,H_autocorr_late_500,H_autocorr_delta_500,time_to_gini_035,time_above_gini_035,gini_peak,H_overheat_600,H_peak,omega_final,omega_mean,omega_cv,omega_mean_liquid,omega_cv_liquid,guardian_interventions,guardian_circuit_breaks,moon_events,disaster,guardian_level_final,guardian_level_mean,guardian_tau_scale_final,guardian_tau_scale_mean,omega_cv_guardian_final,omega_cv_guardian_mean,guardian_trigger_frozen,guardian_trigger_overheat,guardian_trigger_share_imbalance,guardian_trigger_gini_warning,guardian_trigger_gini_danger,guardian_trigger_gini_meltdown,guardian_trigger_triple_warning,guardian_trigger_early_brake,intervention_help_rate_H,intervention_help_rate_alive,post_intervention_phase_flips_200,moon_epochs,interventions_per_epoch_p95,moon_lockouts,r_signal_final,r_signal_mean,r_sync_final,r_sync_mean,A_hat_P10_final,A_hat_P10_mean,A_hat_P50_final,A_hat_P50_mean,A_hat_P90_final,A_hat_P90_mean,top1_action_ratio_final,top1_action_ratio_mean,ER_ratio_final,ER_ratio_mean,A_eff_final,A_eff_mean,msg_success_rate_final,msg_success_rate_mean,trust_update_rate_final,trust_update_rate_mean,trust_edge_ratio_final,trust_edge_ratio_mean,giant_component_ratio_final,giant_component_ratio_mean,D_death_rate_final,D_death_rate_mean,D_decay_rate_final,D_decay_rate_mean,D_intervention_rate_final,D_intervention_rate_mean,overlap_sun_moon_final,overlap_sun_moon_mean,churn_rate_final,churn_rate_mean,phase_mutual_info_final,phase_mutual_info_mean,fgrl_valid_ratio,fgrl_valid_keys,fgrl_dirty,omega_cv_unstable,omega_cv_clipped,guardian_version,guardian_v2_repro_threshold_final,guardian_v2_share_bonus_final,guardian_v2_regen_rate_final,guardian_v2_steal_cost_final,guardian_v2_interventions,guardian_v2_frozen_count,guardian_v2_overheat_count,guardian_v2_oligarch_count
42,5000,139,22,0.7378,0,1,0,184.3,22,1121,131,0.472,0,0,3419,0,0,0,0,0,0.4974,0.4082,0.0,0.0257,22.9,28.1916,1.092,1.1106,0.0243,0.0204,18,7,0.1871,83.415,,,,,,,,,145,0.165,99,0.4503,0.0,0.0935,1.0,0.0,10,1,1,1.029,1.126,1.043,0.0,0.3965,0.4873,0.0,0.0,0.0,0.0,0.0,0.0,517,97,0.4974,0,1.232,2.7786,2.9239,0.0576,2.9239,0.0576,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0,1,0,0,0.0,0.0003,0.0,1.1163,0.9091,0.9091,0.9091,0.9091,0.9091,0.9127,0.4981,0.5028,15.1694,26.1001,0.0,207.4869,nan,nan,nan,nan,nan,nan,0.0,0.0,0.1942,0.258,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,A_eff|A_hat_P10|A_hat_P50|A_hat_P90|D_death_rate|ER_ratio|churn_rate|giant_component_ratio|r_signal|r_sync|top1_action_ratio,,False,False,,,,,,,,,
43,5000,156,43,0.7353,1,1,0,197.5,43,1612,152,0.581,0,0,1889,0,0,0,0,0,0.2268,0.214,0.0,0.0,18.0,26.4542,0.88,0.9504,0.0352,0.0313,34,5,0.109,84.3052,,,,,,,,,255,0.1561,199,0.2361,0.0093,0.9907,0.9907,0.0,103,1,2,0.556,0.963,0.914,0.0,0.2354,0.215,0.0045,0.0,0.0,0.0,0.0,0.0,-1,0,0.2486,0,1.053,2.4132,2.6379,0.0646,2.6469,0.0543,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0,1,0,0,0.0,0.0006,0.0,0.5971,0.9091,0.9091,0.9091,0.9091,0.9091,0.9099,0.7592,0.7417,16.9626,30.7607,63.1985,50.795,nan,nan,nan,nan,nan,nan,0.0,0.0,0.1026,0.2121,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,A_eff|A_hat_P10|A_hat_P50|A_hat_P90|D_death_rate|ER_ratio|churn_rate|giant_component_ratio|r_signal|r_sync|top1_action_ratio,,False,False,,,,,,,,,
44,5000,200,22,0.6451,0,1,0,194.9,22,1283,200,0.559,0,0,0,0,0,0,0,0,0.0492,0.0377,0.0,0.0155,19.5,26.7196,0.241,0.2047,0.0415,0.029,3,25,0.65,8.348,,,,,,,,,173,0.163,99,0.0416,0.9813,0.0187,0.0187,0.0,2,1,1,0.01,0.162,0.091,0.0,0.0066,0.05,0.0,0.0,0.0,0.0,0.0,0.0,-1,0,0.0903,0,0.888,0.6738,0.577,0.5,2.6812,0.0016,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0,1,0,0,0.0,0.0003,0.0,0.3816,0.9091,0.9091,0.9091,0.9091,0.9091,0.9145,0.9603,0.9668,34.8498,36.8267,0.0,85.4257,nan,nan,nan,nan,nan,nan,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,A_eff|A_hat_P10|A_hat_P50|A_hat_P90|ER_ratio|giant_component_ratio|r_signal|r_sync|top1_action_ratio,omega_cv_clipped,False,True,,,,,,,,,
45,5000,200,29,0.6485,0,1,0,216.1,29,797,200,0.677,0,0,0,0,0,0,0,0,0.0491,0.0375,0.0173,0.0059,9.4,25.0411,0.269,0.2393,0.0434,0.0307,4,23,0.875,8.3508,,,,,,,,,170,0.1585,99,0.0414,0.9813,0.0187,0.0187,0.0,2,1,1,0.036,0.172,0.171,0.0,0.0068,0.0492,0.0,0.0,0.0,0.0,0.0,0.0,-1,0,0.0888,0,0.919,0.7579,0.681,0.5,2.7633,0.0078,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0,1,0,0,0.0,0.0003,0.0,0.2611,0.9091,0.9091,0.9091,0.9091,0.9091,0.9223,0.9541,0.9602,34.5529,37.6843,0.0,36.5303,nan,nan,nan,nan,nan,nan,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,A_eff|A_hat_P10|A_hat_P50|A_hat_P90|ER_ratio|giant_component_ratio|r_signal|r_sync|top1_action_ratio,omega_cv_clipped,False,True,,,,,,,,,
46,5000,200,15,0.6402,0,0,0,410.1,15,855,200,0.671,0,0,0,0,0,0,0,0,0.049,0.0377,0.0,0.0,8.8,12.7813,0.275,0.2368,0.0409,0.0286,6,22,0.385,8.5777,,,,,,,,,144,0.1635,99,0.0416,0.9813,0.0187,0.0187,0.0,2,1,1,0.028,0.18,0.161,0.0,0.007,0.0494,0.0,0.0,0.0,0.0,0.0,0.0,-1,0,0.0889,0,0.868,0.776,0.6732,0.5,2.6231,0.0009,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0,1,0,0,0.0,0.0003,0.0,0.24,0.9091,0.9091,0.9091,0.9091,0.9091,0.9158,0.9526,0.9607,34.2337,37.8902,0.0,33.4603,nan,nan,nan,nan,nan,nan,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,A_eff|A_hat_P10|A_hat_P50|A_hat_P90|ER_ratio|giant_component_ratio|r_signal|r_sync|top1_action_ratio,omega_cv_clipped,False,True,,,,,,,,,
SUMMARY,5000,"179.00 [142.52, 215.48]","26.20 [13.02, 39.38]","0.68 [0.62, 0.74]",1/5,4/5,0/5,241,26,1134,177,0.59,,,,,,,,,0.1743,0.1470,0.0035,0.0094,15.7200,23.8376,0.5514,0.5484,0.0371,0.0280,13.0000,16.4000,0.4412,38.5993,,,,,,,,,177.4000,0.1612,,,0.5906,0.2281,0.4094,0.0000,23.8000,1.0000,1.2000,0.3318,0.5206,0.4760,0.0000,0.1305,0.1702,0.0009,0.0000,0.0000,0.0000,0.0000,0.0000,102.6000,19.4000,0.2028,0.0000,0.9920,1.4799,1.4986,0.3244,2.7277,0.0244,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0004,0.0000,0.5192,0.9091,0.9091,0.9091,0.9091,0.9091,0.9150,0.8249,0.8264,27.1537,33.8524,12.6397,82.7396,nan,nan,nan,nan,nan,nan,0.0000,0.0000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0000,,,0.0000,0.6000,,,,,,,,,
PASS_RATE,1/5,≥160,≥50,≥0.65,20%,,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
