seed,steps,alive,combos,overall,pass,pass_core,pass_v36,time_s,combos_accepted,rej_significance,alive_min,beta_mean,vote_events,rule_changes,deaths_starvation,deaths_combat,combat_events,fruit_collected,prey_hunted,crisis_on_steps,gini_final,gini_mean,gene_moran_final,gene_moran_mean,loop_rate_final,loop_rate_mean,shannon_H_final,shannon_H_mean,field_entropy_final,field_entropy_mean,lineage_count_final,max_generation_final,dominant_ratio_final,spatial_variance_final,trust_mean,trust_std,social_diff_Q,trust_total_updates,selfmodel_bias_nonzero,selfmodel_bias_mean,comm_weights_nonzero,comm_weights_max,share_exec_total,share_energy_ratio_median,time_to_first_combo,resource_pressure_mean,f_frozen,f_liquid,f_liquid_Honly,f_chaos,liquid_longest_run,time_to_liquid,phase_transition_count,H_at_200,H_at_600,H_at_2000,Gini_at_200,Gini_at_600,Gini_at_2000,SHARE_at_200,SHARE_at_600,SHARE_at_2000,H_autocorr_early_500,H_autocorr_late_500,H_autocorr_delta_500,time_to_gini_035,time_above_gini_035,gini_peak,H_overheat_600,H_peak,omega_final,omega_mean,omega_cv,omega_mean_liquid,omega_cv_liquid,guardian_interventions,guardian_circuit_breaks,moon_events,disaster,guardian_level_final,guardian_level_mean,guardian_tau_scale_final,guardian_tau_scale_mean,omega_cv_guardian_final,omega_cv_guardian_mean,guardian_trigger_frozen,guardian_trigger_overheat,guardian_trigger_share_imbalance,guardian_trigger_gini_warning,guardian_trigger_gini_danger,guardian_trigger_gini_meltdown,guardian_trigger_triple_warning,guardian_trigger_early_brake,intervention_help_rate_H,intervention_help_rate_alive,post_intervention_phase_flips_200,moon_epochs,interventions_per_epoch_p95,moon_lockouts,r_signal_final,r_signal_mean,r_sync_final,r_sync_mean,A_hat_P10_final,A_hat_P10_mean,A_hat_P50_final,A_hat_P50_mean,A_hat_P90_final,A_hat_P90_mean,top1_action_ratio_final,top1_action_ratio_mean,ER_ratio_final,ER_ratio_mean,A_eff_final,A_eff_mean,msg_success_rate_final,msg_success_rate_mean,trust_update_rate_final,trust_update_rate_mean,trust_edge_ratio_final,trust_edge_ratio_mean,giant_component_ratio_final,giant_component_ratio_mean,D_death_rate_final,D_death_rate_mean,D_decay_rate_final,D_decay_rate_mean,D_intervention_rate_final,D_intervention_rate_mean,overlap_sun_moon_final,overlap_sun_moon_mean,churn_rate_final,churn_rate_mean,phase_mutual_info_final,phase_mutual_info_mean,fgrl_valid_ratio,fgrl_valid_keys,fgrl_dirty,omega_cv_unstable,omega_cv_clipped,guardian_version,guardian_v2_repro_threshold_final,guardian_v2_share_bonus_final,guardian_v2_regen_rate_final,guardian_v2_steal_cost_final,guardian_v2_interventions,guardian_v2_frozen_count,guardian_v2_overheat_count,guardian_v2_oligarch_count
42,5000,46,76,0.6289,0,0,0,174.0,76,1971,45,1.175,0,0,24,0,0,0,0,0,0.6773,0.5238,0.0144,0.0197,17.2,30.528,1.18,1.3225,0.0236,0.0168,34,2,0.0,96.7346,,,,,,,,,90,0.1293,399,0.5778,0.0374,0.1028,0.5981,0.3645,3,2,37,0.637,1.542,1.255,0.0,0.2496,0.635,0.0021,0.0004,0.0,0.0,0.0,0.0,1034,86,0.7103,1,1.631,2.8627,3.4447,0.1496,3.2406,0.0844,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0,1,0,0,0.0,0.0,0.0,0.0,0.9091,0.9091,0.9091,0.9091,0.9091,0.9091,0.6522,0.6047,40.9266,51.4777,30.7436,30.0183,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0217,0.0325,nan,nan,nan,nan,nan,nan,0.3333,0.3512,nan,nan,1.0,A_eff|A_hat_P10|A_hat_P50|A_hat_P90|D_death_rate|ER_ratio|churn_rate|giant_component_ratio|r_signal|r_sync|top1_action_ratio,,False,False,,,,,,,,,
43,5000,24,17,0.6652,0,0,0,175.7,17,5062,23,0.947,0,0,497,0,0,0,0,0,0.0056,0.0208,0.0,0.0783,12.0,31.2159,0.0,0.3765,0.0215,0.0195,4,4,0.7917,57.7798,,,,,,,,,1602,0.191,999,0.023,0.8598,0.1308,0.1308,0.0093,6,1,7,0.692,1.416,0.149,0.0,0.0377,0.0053,0.003,0.1796,0.0,0.0,0.0,0.0,-1,0,0.0673,0,1.416,-0.0056,1.1278,0.5,3.2401,0.1196,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0,1,0,0,0.0502,0.0038,3.4575,1.7566,0.9091,0.9091,0.9091,0.9091,0.9091,0.9091,1.0,0.9299,11.7012,31.5994,54.6964,33.6617,nan,nan,nan,nan,nan,nan,0.0,0.0,0.7083,0.8143,nan,nan,nan,nan,nan,nan,0.5,0.5098,nan,nan,1.0,A_eff|A_hat_P10|A_hat_P50|A_hat_P90|D_death_rate|ER_ratio|churn_rate|giant_component_ratio|r_signal|r_sync|top1_action_ratio,omega_cv_clipped,False,True,,,,,,,,,
44,5000,12,13,0.6387,0,0,0,160.7,13,4141,11,0.481,0,0,516,0,0,0,0,0,0.0057,0.0156,0.051,-0.0089,14.2,33.6561,0.0,0.2388,0.0222,0.0203,5,2,0.3333,85.3624,,,,,,,,,720,0.1925,999,0.0172,0.8598,0.1402,0.1402,0.0,10,1,5,0.647,1.322,0.01,0.0,0.0363,0.0061,0.0004,0.1051,0.0,0.0,0.0,0.0,-1,0,0.0483,0,1.322,-0.0057,0.7094,0.5,3.0056,0.1454,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0,1,0,0,0.0302,0.0023,4.7555,2.2423,0.9091,0.9091,0.9091,0.9091,0.9091,0.9091,1.0,0.9564,12.0254,30.4835,74.405,37.7265,nan,nan,nan,nan,nan,nan,0.0,0.0,6.5,2.9717,nan,nan,nan,nan,nan,nan,0.5,0.5,nan,nan,1.0,A_eff|A_hat_P10|A_hat_P50|A_hat_P90|D_death_rate|ER_ratio|churn_rate|giant_component_ratio|r_signal|r_sync|top1_action_ratio,D_death_rate_out_of_range|omega_cv_clipped,False,True,,,,,,,,,
45,5000,22,11,0.6364,0,0,0,175.6,11,5323,21,1.619,0,0,17,0,0,0,0,0,0.007,0.015,0.2693,0.0761,11.1,31.4458,0.384,0.5647,0.0311,0.0267,8,5,0.4091,89.5747,,,,,,,,,1883,0.193,1599,0.0165,0.7757,0.2243,0.2243,0.0,10,1,7,0.661,1.344,0.337,0.0,0.0366,0.0066,0.0017,0.123,0.0,0.0,0.0,0.0,-1,0,0.0366,0,1.344,1.145,1.7016,0.5,3.1372,0.1445,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0,1,0,0,0.0633,0.0047,3.2734,1.4145,0.9091,0.9091,0.9091,0.9091,0.9091,0.9091,0.9251,0.8843,9.1883,38.009,45.2966,32.543,nan,nan,nan,nan,nan,nan,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0.5,0.5154,nan,nan,1.0,A_eff|A_hat_P10|A_hat_P50|A_hat_P90|D_death_rate|ER_ratio|churn_rate|giant_component_ratio|r_signal|r_sync|top1_action_ratio,omega_cv_clipped,False,True,,,,,,,,,
46,5000,40,8,0.6273,0,0,0,175.3,8,5256,35,1.576,0,0,235,0,0,0,0,0,0.0053,0.0168,0.1898,0.0846,9.8,31.4925,0.191,0.6044,0.0361,0.0297,16,5,0.625,66.8711,,,,,,,,,2697,0.193,2099,0.0185,0.7009,0.2991,0.2991,0.0,10,1,7,0.648,1.354,0.655,0.0,0.0365,0.0182,0.0043,0.1204,0.0026,0.0,0.0,0.0,-1,0,0.0365,0,1.354,0.5677,1.8287,0.5,3.2083,0.1523,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0,1,0,0,0.0829,0.0062,1.0662,0.7581,0.9091,0.9091,0.9091,0.9091,0.9091,0.9091,0.9706,0.8797,8.5804,44.4928,31.774,30.2804,nan,nan,nan,nan,nan,nan,0.0,0.0,2.025,0.5617,nan,nan,nan,nan,nan,nan,0.5,0.5513,nan,nan,1.0,A_eff|A_hat_P10|A_hat_P50|A_hat_P90|D_death_rate|ER_ratio|churn_rate|giant_component_ratio|r_signal|r_sync|top1_action_ratio,D_death_rate_out_of_range|omega_cv_clipped,False,True,,,,,,,,,
SUMMARY,5000,"28.80 [11.54, 46.06]","25.00 [-10.63, 60.63]","0.64 [0.62, 0.66]",0/5,0/5,0/5,172,25,4351,27,1.16,,,,,,,,,0.1402,0.1184,0.1049,0.0500,12.8600,31.6677,0.3510,0.6214,0.0269,0.0226,13.4000,3.6000,0.4318,79.2645,,,,,,,,,1398.4000,0.1798,,,0.6467,0.1794,0.2785,0.0748,7.8000,1.2000,12.6000,0.6570,1.3956,0.4812,0.0000,0.0793,0.1342,0.0023,0.1057,0.0005,0.0000,0.0000,0.0000,206.0000,17.2000,0.1798,0.2000,1.4134,0.9128,1.7624,0.4299,3.1664,0.1292,0.0000,0.0000,0.0000,0.2000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0453,0.0034,2.5105,1.2343,0.9091,0.9091,0.9091,0.9091,0.9091,0.9091,0.9096,0.8510,16.4844,39.2125,47.3831,32.8460,nan,nan,nan,nan,nan,nan,0.0000,0.0000,nan,nan,nan,nan,nan,nan,nan,nan,0.4667,0.4855,nan,nan,1.0000,,,0.0000,0.8000,,,,,,,,,
PASS_RATE,0/5,≥160,≥50,≥0.65,0%,,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
